"ID","PASS","NAME","INSDATE","USEYN"
"test","12345","test","18/08/09","Y"
"dalmoon7","12345","´Þ¹®","18/09/17","Y"
"dalmoon","12345","´Þ¹®","18/09/14","Y"
"dalmoon8","12345","´Þ¹®","18/09/17","Y"
"dalmoon18","12345","´Þ¹®","18/09/17","Y"
"ffff","12345","123","18/10/11","Y"
"ffffffffff","123123","123","18/10/11","Y"
"ffffffff","123123","123123","18/10/11","Y"
"ffffffffaaaa","asfasf","123123","18/10/11","Y"
"gggg","ggggg","ggg","18/10/11","Y"
"testqwdfsdf","12345","¹Ú°øÀç","18/11/02","Y"
"test123143242","12345","¹Ú°øÀç","18/11/02","Y"
"testqweqr","12345","¹Ú°øÀç","18/11/02","Y"
"test111qweqw","12345","¹Ú°øÀç","18/11/02","Y"
"sdasdas","12345","¹Ú°øÀç","18/11/02","Y"
"asdvvdf","12345","¹Ú°øÀç","18/11/02","Y"
"qwesaasdasdqwe","123123","¹Ú°øÀç","18/11/02","Y"
"powas","123123","123123","20181106","Y"
"powas0","123123","123123","20181107","Y"
"zzzzzzzzzz","12345","ÀÌÁß¼·¼·¼·","18/11/07","Y"
"asldkfjkl","12345","ÀÌÁß¼·","18/11/07","Y"
"asdasdasd","asdasd","asdasd","20181107","Y"
"zzzzz","asdasd","asdasd","20181107","Y"
"asdasdq","asdasd","zzzzz","20181107","Y"
"zqweqwe","asdasd","asdasdz","20181107","Y"
"123123123","123123","asdzqwe","20181107","Y"
"zxczxczxc","zxczxc","asdzxc","18/11/07","Y"
"11111111","12345","a2342342342","18/11/15","Y"
"ekekekekekekek","12345","asdfasdfasdfasd","18/11/15","Y"
"asdfasdfa","12345","adsfasaaaa","18/11/16","Y"
"sddeeeeee","12345","asdfasdfasdfadsfsad","18/11/16","Y"
"asdfasdf","12345","dsfasdfasdf","18/11/16","Y"
"asdfasdfadssaf","12345","asdfasdfasdfasdaf","18/11/16","Y"
"awera232323","12345","sdfaweae222","18/11/19","Y"
"qwerasdf","qwerasdf","qwerasdf","18/11/28","y"
"stest","12345","song","18/11/29","Y"
"asdfa","asdfa","asdfa","18/11/28","y"
"test1020","test1020","test1020","19/01/16","Y"
"testt","1111","·Ö","19/01/16","Y"
"³»¾È¿¡Èæ¿°·æ","zndhdhdh","Èæ¿°·æ","19/01/16","Y"
"Èæ¼®µ¿ºÒ±ÃµÕ","gmrtjrehd","ºÒ±ÃµÕ","19/01/16","Y"
"¿µÅë²ÜÁÖ¸Ô","Rnfwnajr","¿µÅë²ÜÁÖ¸Ô","19/01/16","Y"
"°¡»êµ¿²¿Ä¡¿Õ","Rhclek","¾ç²¿Ä¡","19/01/16","Y"
"È­¾çµ¿¼Õ°¡¶ô","flemadhkd","ÀÌ¸®µë","19/01/16","Y"
"Ã¢Ãµµ¿¿ÀÂ¡¾î","dhwlddj","Ã¢Ãµµ¿¿ÀÂ¡¾î","19/01/16","Y"
"¶òÈ£¿ÍÀÇÁõ¾ð","10203430","¶òÈ£¿Í","19/01/16","Y"
"ºÀÃµµ¿¿ÕµÅÁö","951753","¿ÕµÅÁö","19/01/16","Y"
"test6","12345","¹Ú¿ë±Ô","18/08/09","Y"
"test4","12345","¹Ú¿ë±Ô","18/08/09","Y"
"test5","12345","¹Ú¿ë±Ô","18/08/09","Y"
"test7","12345","¹Ú¿ë±Ô","18/08/09","Y"
"qweasd","qweqwe","qweqwe","18/08/09","Y"
"qweasdw","qwert","qweasd","18/08/09","Y"
"123","12345","nameval","18/08/09","Y"
"1234","12345","1234","18/08/09","Y"
"ew2","111111","È«±æµ¿","18/08/09","y"
"se1","111111","È«±æ¼ø","18/08/09","y"
"sda","11111","È«±æµ¿","18/08/09","y"
"tese1","123123","È«±æµ¿","18/08/09","y"
"test08221","test08221","¾ÈÄ¡¹ü","18/08/22","Y"
"tststs","123123","tststs","18/09/06","Y"
"yyyy","12341","È«±æµ¿","18/09/06","Y"
"test08222","test08222","¾ÈÄ¡¹ü","18/08/22","Y"
"tststs1","123123","È«±æµ¿","18/09/06","Y"
"mnmn","123123","È«±æµ¿","18/09/06","Y"
"q001","12345","q1","18/09/10","Y"
"as2","123123","È«±æµ¿","18/08/09","y"
"sss","123123","È«±æµ¿","18/08/09","y"
"q003","11111","11111","18/09/10","Y"
"qwe2","11111","11111","18/09/10","Y"
"ww","11111","11111","18/09/10","Y"
"ee","11111","11111","18/09/10","Y"
"qweq","11111","11111","18/09/10","Y"
"test77","test77","test77","18/09/20","Y"
"test1aa","123","Å×½ºÆ®","18/10/01","Y"
"mmm123","123","kkk","18/10/01","Y"
"mmmm123","123","123","18/10/01","Y"
"123¤±","1","1","18/10/02","Y"
"123a","1","1","18/10/02","Y"
"test8","12345","´Þ¹®","18/10/19","Y"
"test9","12345","´Þ¹®","18/10/19","Y"
"test10","12345","´Þ¹®","18/10/19","Y"
"test12","12345","´Þ¹®","18/10/19","Y"
"test111","12345","¹Ú°øÀç","18/11/02","Y"
"test123","12345","¹Ú°øÀç","18/11/02","Y"
"qweqwe","qweqwe","¾Æ¹«°³","18/11/06","Y"
"Å×½ºÆ®","12345","ÀÌÁß¼·","18/11/06","Y"
"powas1","123123","123123","20181106","Y"
"zzzzzzasd","123123","123123123","20181106","Y"
"asdfnainnweew","12345","sdfaaaaaaaa","18/11/16","Y"
"asdfasdfas","12345","asdfasdfasdfa","18/11/16","Y"
"asdfasdfasdf12333","12345","asdfaddsfafafdsasf","18/11/16","Y"
"dfasfdasdfasdfasdf","12345","asdfeeewerqer","18/11/16","Y"
"asdfadsfa","12345","sdafasdfasdfasdfadsf","18/11/16","Y"
"asdfasdfasdfa333333","12345","asdfasdfasdfasdf","18/11/16","Y"
"asdfasdf324112551234","12345","asdfasdfaweewr3","18/11/16","Y"
"asdf3rewer222","12345","awer3234234111","18/11/16","Y"
"asdfasd33223","12345","asdeeesdfasf","18/11/16","Y"
"asdfasdf3323","12345","asdee2234234","18/11/16","Y"
"asdfe3234211","12345","sadfasdf3223","18/11/16","Y"
"deniu234111","12345","feefa3322","18/11/16","Y"
"dsfasfa","12345","dsf321111","18/11/16","Y"
"sdfa321123","12345","dsf3321123","18/11/16","Y"
"eioq3io2234","12345","dwwweewwewewe","18/11/19","Y"
"asd32234243","12345","dsasaw22222","18/11/19","Y"
"dsaf32221","12345","faa2332","18/11/19","Y"
"12355w2222","12345","asdf2311222","18/11/19","Y"
"123334ee","12345","asdf332","18/11/19","Y"
"d292323","12345","33434ek","18/11/19","Y"
"f234341","12345","sadwe3322","18/11/19","Y"
"awaoi3222","12345","saw4432112","18/11/19","Y"
"awer3232223","12345","3qewrrwree","18/11/19","Y"
"sdnie3332","12345","sdafasdfa3311","18/11/19","Y"
"1231f4422","12345","d2ewrfeww","18/11/19","Y"
"Silver","1111111","1111111","19/01/16","Y"
"song1","12345","test","18/11/28","Y"
"song2","12345","test","18/11/28","Y"
"mins1515","qwerasdf","mmss","18/11/29","y"
"abac","abaca","zxcv","18/11/30","y"
"º¸¶ó¸ÅÇÏ´Ì","951753","ÇÏ´Ì","19/01/16","Y"
"²¿Ä¡¿Õ","didRhcl","²¿Ã¬ÀÌ","19/01/16","Y"
"»ó¼öµ¿»ó¼öÇü","tkdtn","»ó¼öÇü","19/01/16","Y"
"ÇÕÁ¤µ¿º¸µåÄ«","vodka","ÇÕÁ¤µ¿","19/01/16","Y"
"¸Á¿øµ¿´ß²¿Ä¡","akdfleks","¸Á¸®´Ü±æ","19/01/16","Y"
"¿¬³²µ¿³ë¼÷ÀÚ","dusskaehd","¿¬³²µ¿","19/01/16","Y"
"¼­±³µ¿¸ñ»ì","ahrtkfwlq","¼­±³µ¿¹äÁý","19/01/16","Y"
"µ¿±³µ¿Å¬·´Â¯","ehdryehd","µ¿±³µ¿ÀÏÂðÂ¯","19/01/16","Y"
"¿Í¿ì»ê·ÎÀÏÁø","dhkdn","¿Í¿ì»ê·Î","19/01/16","Y"
"´ëÇöµ¿Â¯","eogusehd","´ëÇöµ¿Â¯","19/01/16","Y"
"¾ÆÀÌµð°¡","dkdlel","¼º¸í","19/01/16","Y"
"»óµµµ¿°Å»ê","tkdehehd","°Å»ê","19/01/16","Y"
"´ç°îµ¿±è¸»ÀÌ","951753","±è¸»ÀÌ","19/01/16","Y"
"jjjjj¤Ã","12345","È«±æµ¿","18/09/06","Y"
